Question,Answer,Source,Metadata,SuggestedQuestions,IsContextOnly,Prompts,QnaId
Actuary,Actuary,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""83"", ""DisplayText"": ""Types of actuary""},{""DisplayOrder"": ""1"", ""QnaId"": ""84"", ""DisplayText"": ""Responsibilities ""},{""DisplayOrder"": ""2"", ""QnaId"": ""85"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""3"", ""QnaId"": ""86"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""4"", ""QnaId"": ""87"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""5"", ""QnaId"": ""88"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""6"", ""QnaId"": ""89"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""7"", ""QnaId"": ""90"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""8"", ""QnaId"": ""91"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""9"", ""QnaId"": ""92"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""10"", ""QnaId"": ""93"", ""DisplayText"": ""Career prospects""}]",82
Actuary Types of actuary,Actuary Types of actuary,Editorial,,[],FALSE,,83
Actuary Responsibilities ,Actuary Responsibilities ,Editorial,,[],FALSE,,84
Actuary Salary,Actuary Salary,Editorial,,[],FALSE,,85
Actuary Working hours,Actuary Working hours,Editorial,,[],FALSE,,86
Actuary What to expect,Actuary What to expect,Editorial,,[],FALSE,,87
Actuary Qualifications,Actuary Qualifications,Editorial,,[],FALSE,,88
Actuary Skills,Actuary Skills,Editorial,,[],FALSE,,89
Actuary Work experience,Actuary Work experience,Editorial,,[],FALSE,,90
Actuary Employers,Actuary Employers,Editorial,,[],FALSE,,91
Actuary Professional development,Actuary Professional development,Editorial,,[],FALSE,,92
Actuary Career prospects,Actuary Career prospects,Editorial,,[],FALSE,,93
Acupuncturist,Acupuncturist,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""95"", ""DisplayText"": ""Responsibilities""},{""DisplayOrder"": ""1"", ""QnaId"": ""96"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""2"", ""QnaId"": ""97"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""3"", ""QnaId"": ""98"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""4"", ""QnaId"": ""99"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""5"", ""QnaId"": ""100"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""6"", ""QnaId"": ""101"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""7"", ""QnaId"": ""102"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""8"", ""QnaId"": ""103"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""9"", ""QnaId"": ""104"", ""DisplayText"": ""Career prospects""}]",94
Acupuncturist Responsibilities,Acupuncturist Responsibilities,Editorial,,[],FALSE,,95
Acupuncturist Salary,Acupuncturist Salary,Editorial,,[],FALSE,,96
Acupuncturist Working hours,Acupuncturist Working hours,Editorial,,[],FALSE,,97
Acupuncturist What to expect,Acupuncturist What to expect,Editorial,,[],FALSE,,98
Acupuncturist Qualifications,Acupuncturist Qualifications,Editorial,,[],FALSE,,99
Acupuncturist Skills,Acupuncturist Skills,Editorial,,[],FALSE,,100
Acupuncturist Work experience,Acupuncturist Work experience,Editorial,,[],FALSE,,101
Acupuncturist Employers,Acupuncturist Employers,Editorial,,[],FALSE,,102
Acupuncturist Professional development,Acupuncturist Professional development,Editorial,,[],FALSE,,103
Acupuncturist Career prospects,Acupuncturist Career prospects,Editorial,,[],FALSE,,104
Adult guidance worker,Adult guidance worker,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""106"", ""DisplayText"": ""Types of adult guidance worker""},{""DisplayOrder"": ""1"", ""QnaId"": ""107"", ""DisplayText"": ""Responsibilities""},{""DisplayOrder"": ""2"", ""QnaId"": ""108"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""3"", ""QnaId"": ""109"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""4"", ""QnaId"": ""110"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""5"", ""QnaId"": ""111"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""6"", ""QnaId"": ""112"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""7"", ""QnaId"": ""113"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""8"", ""QnaId"": ""114"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""9"", ""QnaId"": ""115"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""10"", ""QnaId"": ""116"", ""DisplayText"": ""Career prospects""}]",105
Adult guidance worker Types of adult guidance worker,Adult guidance worker Types of adult guidance worker,Editorial,,[],FALSE,,106
Adult guidance worker Responsibilities,Adult guidance worker Responsibilities,Editorial,,[],FALSE,,107
Adult guidance worker Salary,Adult guidance worker Salary,Editorial,,[],FALSE,,108
Adult guidance worker Working hours,Adult guidance worker Working hours,Editorial,,[],FALSE,,109
Adult guidance worker What to expect,Adult guidance worker What to expect,Editorial,,[],FALSE,,110
Adult guidance worker Qualifications,Adult guidance worker Qualifications,Editorial,,[],FALSE,,111
Adult guidance worker Skills,Adult guidance worker Skills,Editorial,,[],FALSE,,112
Adult guidance worker Work experience,Adult guidance worker Work experience,Editorial,,[],FALSE,,113
Adult guidance worker Employers,Adult guidance worker Employers,Editorial,,[],FALSE,,114
Adult guidance worker Professional development,Adult guidance worker Professional development,Editorial,,[],FALSE,,115
Adult guidance worker Career prospects,Adult guidance worker Career prospects,Editorial,,[],FALSE,,116
Adult nurse,Adult nurse,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""118"", ""DisplayText"": ""Responsibilities""},{""DisplayOrder"": ""1"", ""QnaId"": ""119"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""2"", ""QnaId"": ""120"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""3"", ""QnaId"": ""121"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""4"", ""QnaId"": ""122"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""5"", ""QnaId"": ""123"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""6"", ""QnaId"": ""124"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""7"", ""QnaId"": ""125"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""8"", ""QnaId"": ""126"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""9"", ""QnaId"": ""127"", ""DisplayText"": ""Career prospects""}]",117
Adult nurse Responsibilities,Adult nurse Responsibilities,Editorial,,[],FALSE,,118
Adult nurse Salary,Adult nurse Salary,Editorial,,[],FALSE,,119
Adult nurse Working hours,Adult nurse Working hours,Editorial,,[],FALSE,,120
Adult nurse What to expect,Adult nurse What to expect,Editorial,,[],FALSE,,121
Adult nurse Qualifications,Adult nurse Qualifications,Editorial,,[],FALSE,,122
Adult nurse Skills,Adult nurse Skills,Editorial,,[],FALSE,,123
Adult nurse Work experience,Adult nurse Work experience,Editorial,,[],FALSE,,124
Adult nurse Employers,Adult nurse Employers,Editorial,,[],FALSE,,125
Adult nurse Professional development,Adult nurse Professional development,Editorial,,[],FALSE,,126
Adult nurse Career prospects,Adult nurse Career prospects,Editorial,,[],FALSE,,127
Advertising account executive,Advertising account executive,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""129"", ""DisplayText"": ""Responsibilities""},{""DisplayOrder"": ""1"", ""QnaId"": ""130"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""2"", ""QnaId"": ""131"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""3"", ""QnaId"": ""132"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""4"", ""QnaId"": ""133"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""5"", ""QnaId"": ""134"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""6"", ""QnaId"": ""135"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""7"", ""QnaId"": ""136"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""8"", ""QnaId"": ""137"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""9"", ""QnaId"": ""138"", ""DisplayText"": ""Career prospects""}]",128
Advertising account executive Responsibilities,Advertising account executive Responsibilities,Editorial,,[],FALSE,,129
Advertising account executive Salary,Advertising account executive Salary,Editorial,,[],FALSE,,130
Advertising account executive Working hours,Advertising account executive Working hours,Editorial,,[],FALSE,,131
Advertising account executive What to expect,Advertising account executive What to expect,Editorial,,[],FALSE,,132
Advertising account executive Qualifications,Advertising account executive Qualifications,Editorial,,[],FALSE,,133
Advertising account executive Skills,Advertising account executive Skills,Editorial,,[],FALSE,,134
Advertising account executive Work experience,Advertising account executive Work experience,Editorial,,[],FALSE,,135
Advertising account executive Employers,Advertising account executive Employers,Editorial,,[],FALSE,,136
Advertising account executive Professional development,Advertising account executive Professional development,Editorial,,[],FALSE,,137
Advertising account executive Career prospects,Advertising account executive Career prospects,Editorial,,[],FALSE,,138
Advertising account planner,Advertising account planner,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""140"", ""DisplayText"": ""Responsibilities""},{""DisplayOrder"": ""1"", ""QnaId"": ""141"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""2"", ""QnaId"": ""142"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""3"", ""QnaId"": ""143"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""4"", ""QnaId"": ""144"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""5"", ""QnaId"": ""145"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""6"", ""QnaId"": ""146"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""7"", ""QnaId"": ""147"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""8"", ""QnaId"": ""148"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""9"", ""QnaId"": ""149"", ""DisplayText"": ""Career prospects""}]",139
Advertising account planner Responsibilities,Advertising account planner Responsibilities,Editorial,,[],FALSE,,140
Advertising account planner Salary,Advertising account planner Salary,Editorial,,[],FALSE,,141
Advertising account planner Working hours,Advertising account planner Working hours,Editorial,,[],FALSE,,142
Advertising account planner What to expect,Advertising account planner What to expect,Editorial,,[],FALSE,,143
Advertising account planner Qualifications,Advertising account planner Qualifications,Editorial,,[],FALSE,,144
Advertising account planner Skills,Advertising account planner Skills,Editorial,,[],FALSE,,145
Advertising account planner Work experience,Advertising account planner Work experience,Editorial,,[],FALSE,,146
Advertising account planner Employers,Advertising account planner Employers,Editorial,,[],FALSE,,147
Advertising account planner Professional development,Advertising account planner Professional development,Editorial,,[],FALSE,,148
Advertising account planner Career prospects,Advertising account planner Career prospects,Editorial,,[],FALSE,,149
Advertising art director,Advertising art director,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""151"", ""DisplayText"": ""Responsibilities""},{""DisplayOrder"": ""1"", ""QnaId"": ""152"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""2"", ""QnaId"": ""153"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""3"", ""QnaId"": ""154"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""4"", ""QnaId"": ""155"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""5"", ""QnaId"": ""156"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""6"", ""QnaId"": ""157"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""7"", ""QnaId"": ""158"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""8"", ""QnaId"": ""159"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""9"", ""QnaId"": ""160"", ""DisplayText"": ""Career prospects""}]",150
Advertising art director Responsibilities,Advertising art director Responsibilities,Editorial,,[],FALSE,,151
Advertising art director Salary,Advertising art director Salary,Editorial,,[],FALSE,,152
Advertising art director Working hours,Advertising art director Working hours,Editorial,,[],FALSE,,153
Advertising art director What to expect,Advertising art director What to expect,Editorial,,[],FALSE,,154
Advertising art director Qualifications,Advertising art director Qualifications,Editorial,,[],FALSE,,155
Advertising art director Skills,Advertising art director Skills,Editorial,,[],FALSE,,156
Advertising art director Work experience,Advertising art director Work experience,Editorial,,[],FALSE,,157
Advertising art director Employers,Advertising art director Employers,Editorial,,[],FALSE,,158
Advertising art director Professional development,Advertising art director Professional development,Editorial,,[],FALSE,,159
Advertising art director Career prospects,Advertising art director Career prospects,Editorial,,[],FALSE,,160
Advertising copywriter,Advertising copywriter,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""162"", ""DisplayText"": ""Responsibilities""},{""DisplayOrder"": ""1"", ""QnaId"": ""163"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""2"", ""QnaId"": ""164"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""3"", ""QnaId"": ""165"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""4"", ""QnaId"": ""166"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""5"", ""QnaId"": ""167"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""6"", ""QnaId"": ""168"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""7"", ""QnaId"": ""169"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""8"", ""QnaId"": ""170"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""9"", ""QnaId"": ""171"", ""DisplayText"": ""Career prospects""}]",161
Advertising copywriter Responsibilities,Advertising copywriter Responsibilities,Editorial,,[],FALSE,,162
Advertising copywriter Salary,Advertising copywriter Salary,Editorial,,[],FALSE,,163
Advertising copywriter Working hours,Advertising copywriter Working hours,Editorial,,[],FALSE,,164
Advertising copywriter What to expect,Advertising copywriter What to expect,Editorial,,[],FALSE,,165
Advertising copywriter Qualifications,Advertising copywriter Qualifications,Editorial,,[],FALSE,,166
Advertising copywriter Skills,Advertising copywriter Skills,Editorial,,[],FALSE,,167
Advertising copywriter Work experience,Advertising copywriter Work experience,Editorial,,[],FALSE,,168
Advertising copywriter Employers,Advertising copywriter Employers,Editorial,,[],FALSE,,169
Advertising copywriter Professional development,Advertising copywriter Professional development,Editorial,,[],FALSE,,170
Advertising copywriter Career prospects,Advertising copywriter Career prospects,Editorial,,[],FALSE,,171
